Date,Link,Name
2020-11-03 17:16,https://longisland.craigslist.org/egr/d/blue-point-architectural-intern/7225044085.html,Architectural Intern / Draftsperson
2020-11-03 09:42,https://longisland.craigslist.org/egr/d/wantagh-architectural-cad-draftsperson/7224757952.html,Architectural Cad Draftsperson - project manager
2020-11-02 11:14,https://longisland.craigslist.org/egr/d/huntington-station-maintenance-manager/7224256752.html,Maintenance Manager - Foodservice Equipment
2020-10-31 17:16,https://longisland.craigslist.org/egr/d/hicksville-personal-assistant-to-owner/7223484406.html,Personal Assistant to Owner
2020-11-26 12:22,https://hudsonvalley.craigslist.org/egr/d/middletown-office-and-field-positions/7237329351.html,Office and Field positions - Commercial Construction- Hudson Valley
2020-11-13 11:02,https://hudsonvalley.craigslist.org/egr/d/new-city-senior-designer-drafter/7230248489.html,Senior Designer/Drafter
2020-11-11 14:01,https://hudsonvalley.craigslist.org/egr/d/pawling-project-estimator/7229242959.html,Project Estimator
2020-11-10 11:53,https://hudsonvalley.craigslist.org/egr/d/mahwah-land-surveyor/7228568597.html,Land Surveyor
2020-11-10 08:39,https://hudsonvalley.craigslist.org/egr/d/kingston-e-project-manager-draftsman/7228452957.html,A/E project manager / draftsman
2020-11-08 17:25,https://hudsonvalley.craigslist.org/egr/d/fishkill-site-engineering-firm-seeks-to/7227656090.html,Site  Engineering Firm seeks to merge with A/E Firm
2020-11-06 14:08,https://hudsonvalley.craigslist.org/egr/d/wingdale-draftsperson/7226534139.html,DRAFTSPERSON
2020-11-06 06:58,https://hudsonvalley.craigslist.org/egr/d/carmel-civil-engineer-draftsperson/7226292612.html,Civil Engineer/Draftsperson
2020-10-31 18:39,https://hudsonvalley.craigslist.org/egr/d/fishkill-site-civil-autocad-drafter/7223522266.html,Site/Civil AutoCAD Drafter
